Datasets\atp-losses-country-player.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\atp-matches-allplayers-height.data;4+ levels;Low weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\atp-matches-top20players-rank.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\atp-wins-country-player.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\DutchNames;Single level;Low weight variance;Low insertions and deletions;Regular weight change
Datasets\gh-AndroidNetworking-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-angular-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-animate.css-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-ant-design-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\gh-apollo-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-apollo-server-m.data;4+ levels;Low weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-AVLoadingIndicatorView-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-awesome-dotnet-core-m.data;Single level;Low weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-awesome-kotlin-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-awesome-python-m.data;2 or 3 levels;Low weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-axios-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-better-scroll-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-big-list-of-naughty-strings-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-bitbar-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-bulma-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-cayley-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-chalk-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-darknet-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\gh-data-science-ipython-notebooks-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-DCGAN-tensorflow-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-discord.js-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-echo-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-electron-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-enzyme-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-errors-m.data;Single level;Low weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-examples-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-express-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-fetch-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-FileDownloader-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-flatpickr-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-FlycoTabLayout-m.data;4+ levels;High weight variance;Low insertions and deletions;Low weight change
Datasets\gh-free-programming-books-zh_CN-m.data;Single level;Low weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-git-lfs-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-git-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-gogs-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-Google-Play-Music-Desktop-Player-UNOFFICIAL--m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-hugo-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-ImagePicker-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-imgui-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-incubator-airflow-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-ItChat-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-java-design-patterns-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-javascript-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-JFoenix-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-jquery-weui-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-jupyterlab-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\gh-keras-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\gh-laravel-admin-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-laravel-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-layui-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
